ign,ACS,K,D,A,HS%,Ace
CANTSHOOT420#3420,229,18,13,3,0.33,1
MiPro#123,278,24,12,4,0.24,0
NotJoonr#inoob,264,21,14,6,0.39,0
ThePanda#noob,94,6,13,9,0.32,0
xXpronehubXx#noob,235,16,17,9,0.11,0
Cigarettes After Ace,ACS,K,D,A,HS%,Ace
CHURUxZenHance#1248,161,11,19,5,0.24,0
Jelly#Pupu,212,16,15,2,0.17,0
PredictableNot#5259,116,7,20,7,0.07,0
ST3EL#Jadu,171,15,16,3,0.29,0
WadoHeck#3255,241,20,15,6,0.26,0
,901,,,,,
,,,,,,
,,,,,,
G33,,,,,,
,1343,,,,,
BDSM gSports,ACS,K,D,A,HS%,Ace
BDSM jinn#BDSM,310,14,7,3,0.18,0
BDSM Migrant56#itsok,224,11,3,3,0.05,0
DFF#glhf,271,14,4,5,0.14,0
Faiyaz#1717,280,12,9,10,0.17,0
megobrrr#nobfk,258,15,2,1,0.15,0
One Night Radiant,ACS,K,D,A,HS%,Ace
Tekashaki69#9091,126,5,14,3,0.11,0
Ikki#3874,194,8,13,1,0.19,0
RatRex#9988,74,3,13,4,0.27,0
Sinclair#1790,137,6,13,1,0.15,0
Tekx86#2255,66,3,13,2,0.15,0
,597,,,,,
,,,,,,
,,,,,,
G35,,,,,,
,1303,,,,,
BDSM gSports,ACS,K,D,A,HS%,Ace
BDSM jinn#BDSM,252,14,7,4,0.27,0
BDSM Migrant56#itsok,46,2,4,5,0.14,0
DFF#glhf,370,18,5,6,0.14,0
Faiyaz#1717,455,25,7,1,0.30,0
megobrrr#nobfk,180,9,6,3,0.22,0
Noob Rangers,ACS,K,D,A,HS%,Ace
GOKBORU#5094,149,6,13,0,0.13,0
Ling Ying Wei#1327,206,10,13,0,0.26,0
Luniam#Hexa,232,8,15,4,0.18,0
misfit#fn26,38,1,14,2,0.13,0
Xarvey#6794,80,4,13,2,0.00,0
,705,,,,,
,,,,,,
,,,,,,
FB-4905,,,,,,
,1304,,,,,
Team Solid,ACS,K,D,A,HS%,Ace
Bonruti#Yummy,371,20,6,5,0.32,1
CONFUSED#2095,403,20,10,5,0.14,0
GH05TR3C0NTTA#taki,154,8,5,7,0.24,0
Jinx ツ#1305,169,8,9,7,0.12,0
Marco Phoniex#6598,207,11,5,4,0.47,0
Farmers United,ACS,K,D,A,HS%,Ace
AhnafUwU#007,162,7,14,0,0.17,0
GacherDaleCrow2#2291,77,3,13,0,0.15,0
Kobiraj#bhai,219,9,13,1,0.14,0
Mo Sami#LFC,102,3,14,2,0.13,0
potetu#69420,290,13,13,0,0.21,0
,850,,,,,
,,,,,,
,723,,,,,
Farmers United,ACS,K,D,A,HS%,Ace
AhnafUwU#007,143,5,13,3,0.14,0
GacherDaleCrow2#2291,133,5,13,2,0.21,0
Kobiraj#bhai,130,4,14,4,0.13,0
Mo Sami#LFC,172,8,13,2,0.13,0
potetu#69420,145,6,14,1,0.19,0
Team Solid,ACS,K,D,A,HS%,Ace
Bonruti#Yummy,256,14,6,1,0.32,0
CONFUSED#2095,310,16,7,3,0.11,0
GH05TR3C0NTTA#taki,290,14,7,8,0.12,0
Jinx ツ#1305,268,16,2,0,0.27,0
Marco Phoniex#6598,149,7,6,5,0.35,0
,1273,,,,,
,,,,,,
,1136,,,,,
Team Solid,ACS,K,D,A,HS%,Ace
Bonruti#Yummy,260,18,12,2,0.38,0
CONFUSED#2095,144,11,11,0,0.16,0
GH05TR3C0NTTA#taki,278,20,10,2,0.19,0
Jinx ツ#1305,221,15,12,2,0.17,0
Marco Phoniex#6598,233,16,12,3,0.40,0
Farmers United,ACS,K,D,A,HS%,Ace
AhnafUwU#007,182,13,15,4,0.07,0
